Nota,Judul Buku
PNJM-230109-0056,"['Bulughul Maram: panduan Lengkap Masalah-Masalah Fiqih, Akhlak dan Keutamaan Amal/ Ibn hajar Al-Asqalani; Penerjemah, Irfan Maulana hakim', 'Rasulullah: Kisah Hidup Sang Pemimpin/Tim Ar-Rahman']"
PNJM-230109-0057,"['Zodiac Tale: Mencari Harta Karun/ Chris Sakon', 'Family Wars/ Grant Gordon dan Nigel Nichloson; Penerjemah, Siska Sembiring']"
PNJM-230109-0058,"['ENSIKLOPEDIA SEJARAH 1/ JANU ISMADI', 'SERVIS RODA DAN SUSPENSI SEPEDA MOTOR/ ARIF HIDAYATULLAH, M. ALAIKA SALAMULLOH']"
PNJM-230109-0059,['Balada Becak atau Sebuah Riwayat Melodi Yus-Riri/ Y.B Mangunwijaya']
PNJM-230109-0060,"['IMPLEMENTASI KURIKULUM PENDIDIKAN KARAKTER: DILENGKAPI SECARA PENYUSUNAN DAN RPP INTEGRASI NILAI BUDAYA DAN KARAKTER BANGSA/ ENDAH SULISTYOWATI', 'KONSEP DAN MODEL PENDIDIKAN KARAKTER/ MUCHLAS SAMANI, HARIYANTO']"
PNJM-230109-0061,"['PENDIDIKAN KARAKTER: KONSEPSI & IMPLEMENTASINYA SECARA TERPADU DI LINGKINGAN KELUARGA, SEKOLAH, PERGURUAN TINGGI, & MASYARAKAT/ SYAMSUL KURNIAWAN', 'PENGANTAR LINGUISTIK UMUM/ SUHARDI']"
PNJM-230109-0062,"['Fantasteen: Fearacer Restart/ Esa Khairina', 'RAGAM KALIMAT NONSASTRA/ FAJAR RACHMAWATI']"
PNJM-230109-0063,"['PRRI Pemberontak Atau Bukan?/ Syamdani', 'Bad Girl Vs Ketua Osis/ Intanzs']"
PNJM-230110-0064,"['Kura-Kura dan Angsa/ Ermina Krismarsanti', 'Giga & Gogi/ Ermina Krismarsah']"
PNJM-230110-0065,"['Si Suara Emas/ Erni Fitri Astuti', 'Seri Cerita Anak Usia Dini: Menggosok Gigi Yang Menyehatkan, Health Brushing Teeth/ Zahidah R. Sanami']"
PNJM-230110-0066,"['Tentang Manusia Indonesia/Toeti Heraty N.', 'Menggapai Mentari/ Elisa Herman']"
PNJM-230110-0067,"['Sembilan Keajaiban Sunah Rasulullah/ Rusdin S. Rauf', 'Fiqih Thaharah: tata Cara dan Hikmah Bersuci Dalam Islam/ Abdullah Abbas']"
PNJM-230110-0068,"['Kisah Pohon Cemara/ Hans Christian Anderson, Penerjemah: Rosi L Simamora']"
PNJM-230110-0069,"['SERI KISAH JENAKA: SARAT MAKNA 4/ DHURORUDIN MASHAD', 'Membongkar Rahasia Teknik Baca Super Cepat: Lebih Dahsyat Dari 1 Halaman 1 Detik/ Efendi wang']"
PNJM-230110-0070,['Membuat Terasi/ Lies Suprapti']
PNJM-230110-0071,"['Anatomi Klinis Dasar: Penting Untuk Orang Awan/Imelda Mohamad', 'Buku Pintar Mind Map/ Tony Buzan; Penerjemah: Susi Purwoko']"
PNJM-230110-0072,['Peradaban Besar Dunia Mesir Kuno I/ Fardhilah']
PNJM-230110-0073,['K Novel: Bintang Jindo/ Susanti Hara JV']
PNJM-230110-0074,"['Budidaya Kemiri Komoditas Ekspor/ Hatta Sunanto', 'Eoseo Oseyo New Idol!/ Dian Meliantari']"
PNJM-230110-0075,"['MAHIR MENULISBERBAGAI LAPORAN: LAPORAN KEGIATAN, KARYAWISATA, MENAJERIAL, PENELITINA, DISKUSI KEMASYARAKATAN PENUNJANG KURIKULUM BERBASIS KOMPETENSI/ A. WIDYAMARTAYA, LIC PHIL, VERO SUDIATI', 'Dari Jendela Lantai Tiga/ Y.F. Sarbini']"
PNJM-230110-0076,['Berbisnis Waralaba Murah: Menjadi Kaya Dengan Bisnis Waralaba Dengan Modal Mulai kurang lebih 2 Juta/ Nistains Odop']
PNJM-230110-0077,['Hukum Dan Kemajemukan Budaya: Sumbangan Karangan Untuk Menyambut Hari Ulang Tahun Ke 70 Prof Dr. T.O. Ihromi/ E.K.M Masinambow']
PNJM-230110-0078,"['Diksi Dan Gaya Bahasa/ Gorys Keraf', 'ENSIKLOPEDIA BAHASA DAN SASTRA INDONESIA: GAYA BAHASA / MAYA GUSTINA S']"
PNJM-230110-0079,"['IMPLEMENTASI BELAJAR DAN PEMBELAJARAN/ SUYONO, HARIYANTO', 'GURU DALAM IMPLEMENTASI KURIKULUM 2013/ H.E.MULYASA']"
PNJM-230110-0080,"['SEMESTER TERAKHIR DI MALORY TOWERS/ENID BLYTON; PENERJEMAH, DJOKOLELONO', 'Cerdas Beternak Ayam Buras: Petelur & Pedaging/Ayu Larasati']"
PNJM-230110-0081,"['My Passion My Career: Rahasia Karier Sukses Bersama Konsultankarir.com/ Ardiningtyas Pitaloka, Andin Andiyasari']"
PNJM-230110-0082,"['Pedoman Pelaksanaan Pengadaan Barang/Jasa pemerintah/ Pemerintah Indonesia', 'Buku Pintar Pengadaan Barang /Jasa Pemerintah / Much. Nurachmad']"
PNJM-230110-0083,['Devil Enlovqer/ Luluk Hf']
PNJM-230111-0084,['Bintang Pun Bertasbih/ Eko Hartono']
PNJM-230111-0085,"['MIRACLE MENANTANG MAUT/ GOLA GONG', 'Bertanam Lombok/ Pracaya']"
PNJM-230111-0086,"['TAK ADA KEBAHAGIAAN BAGINYA/ NAWAL EL-SAADAWI; PENERJEMAH AHMAD QOMARUDDIN', 'Instan: Jahe, Kunyit, Kencur, Temulawak/ Prasetiyo']"
PNJM-230111-0087,"['Koala Kumal/ Raditya Dika', 'Rahasia Pak Harto: Menyikap Rahasia Umur Panjang, Kesehatan, Kesuksesan, & Kekuasaan Pak Harto/ Mohammad Shoelhi']"
PNJM-230111-0088,"['Remember Rain: Selalu Ada Kisah Disetisp Tetesannya/ Jihan Nur Pratiwi', 'Langsung Hasil Ternak Lele sangkuriang/ Yusnu Iman Nurhakim']"
PNJM-230111-0089,"['Fantasteen: Hana Dan Piano La/ Firda Amelia Noor', 'Budidaya Kelapa Sawit/ Djoehana Setyamidjaja']"
PNJM-230111-0090,"['Dari Firenze Ke Jakarta/ Ewith Bahar', 'GERHANA KEMBAR/ CLARA NG']"
PNJM-230111-0091,"['Bad Girl Vs Ketua Osis/ Intanzs', 'Cliche: Pilihanmu Hanya Dua Terjebak Pada Masa Lalu Atau Maju/Fauzi Maulana Hakim']"
PNJM-230111-0092,"['SARAT MAKNA JILID 3: SERI KISAH JENAKA/ DHURORUDIN MASHAD', 'Guru Bangsa: Sebuah Biografi Jenderal Sudirman/ Sardiman']"
PNJM-230111-0093,"['Belajar Mandiri Bahasa Mandarin Untuk Pemula/ Elizabeth Scurfleld, Penerjemah: Reny Limarga', 'Kamus Bergambar Mandarin-Indonesia/ Hermina Sutami']"
PNJM-230111-0094,"['Kitab Tumbuhan Obat/ R. Syamsul Hidayat, Rodame M. Napitupulu', 'Buku Pintar Kopi/ Edy Panggabean']"
PNJM-230111-0095,"['Musa Versus Firaun/ Amanullah Halim', 'Para Pelaku Sejarah: Menelusuri Peran Strategis Para Pembela Kebenaran Dan Penyeru Kebatilan Era Rasulullah/Ghazi Abdurrahman Alafazi']"
PNJM-230111-0096,['Marketing Revolution/Tung Desem Waringin']
PNJM-230111-0097,"['Buku Saku Etika Islam Sehari-hari/ Syekh Abdul Qadir Al-Jailani; Penerjemah, Aguk Irawan', 'Bilik-Bilik Cinta Muhammad: Kisah Sehari-Hari Rumah Tangga Nabi/ Nizar Abazhah']"
PNJM-230112-0098,"['Budgeting: Pedoman Lengkap Langkah-Langkah Penganggaran/ Jae.K Shim, Joel G. Siegel; Penerjemah, Julius Mulyadi']"
PNJM-230112-0099,"['Kitab Firasat/ Imam Fakhruddin AR-Razi; Penerjemah, Fuad Syaifuddin Nur']"
PNJM-230112-0100,['Kumpulan Cerita Rakyat Indonesia: Cerita Rakyat Bali/ Frida']
PNJM-230112-0101,"['Dasar Perencanaan dan Pemilihan Elemen Mesin/ Sularso, Kiyokatsu Suga']"
PNJM-230112-0102,"['GEGE MENGEJAR CINTA/ ADHITYA MULYA', 'MARSUDI SI ANAK TIRI DARI DESA WALERI/ D. KUSUMA']"
PNJM-230112-0103,"['Kumpulan Cerita Rakyat Indonesia: Cerita Rakyat Nusa Tenggara/ Lilis W', 'Dongeng Asal-Usul Nusantara/ Daru Wijayanti']"
PNJM-230112-0104,['Journey To Damascus: Perjalanan Menuju Negeri Akhir Zaman/Abu Fatiah Al-Adnani']
