antecedents,consequents,support,confidence,lift
frozenset({'AKUNTANSI PENGANTAR 1/ SURADI'}),frozenset({'Mikro Ekonomi: Teori Pengantar Edisi Ketiga/ Sadomo Sukirno'}),0.00039824771007566706,1.0,279.0
"frozenset({'Jangan Nangis Mio!,Dont Cry , Mio!/Contessa Dewi'})",frozenset({'ALDI SI DOKTER CILIK: PANDUAN P3K YANG PERLU KAMU TAHU/FITA CHAKRA'}),0.00039824771007566706,0.33333333333333337,418.50000000000006
frozenset({'ALDI SI DOKTER CILIK: PANDUAN P3K YANG PERLU KAMU TAHU/FITA CHAKRA'}),"frozenset({'Jangan Nangis Mio!,Dont Cry , Mio!/Contessa Dewi'})",0.00039824771007566706,0.5,418.5
frozenset({'Seri Petualangan Fun Cican: Kesatria Cican dan Putri Cini/ Wahyu Aditya'}),frozenset({'ALDI SI DOKTER CILIK: PANDUAN P3K YANG PERLU KAMU TAHU/FITA CHAKRA'}),0.00039824771007566706,0.33333333333333337,418.50000000000006
frozenset({'ALDI SI DOKTER CILIK: PANDUAN P3K YANG PERLU KAMU TAHU/FITA CHAKRA'}),frozenset({'Seri Petualangan Fun Cican: Kesatria Cican dan Putri Cini/ Wahyu Aditya'}),0.00039824771007566706,0.5,418.5
frozenset({'AMANDEMEN UNDANG-UNDANG DASAR 1945/ ANANG SAEPULOH'}),frozenset({'Pidana dan Pemidanaan/ Bambang Waluyo'}),0.00039824771007566706,0.33333333333333337,279.00000000000006
frozenset({'Pidana dan Pemidanaan/ Bambang Waluyo'}),frozenset({'AMANDEMEN UNDANG-UNDANG DASAR 1945/ ANANG SAEPULOH'}),0.00039824771007566706,0.33333333333333337,279.00000000000006
frozenset({'Analisis Multivariat: Arti & Interpretasi/ Supranto'}),"frozenset({'ANALISIS KORELASI, REGRESI DAN MULTIVARIATE DENGAN SPSS/DUWI PRIYATNO'})",0.00039824771007566706,1.0,627.75
"frozenset({'ANALISIS KORELASI, REGRESI DAN MULTIVARIATE DENGAN SPSS/DUWI PRIYATNO'})",frozenset({'Analisis Multivariat: Arti & Interpretasi/ Supranto'}),0.00039824771007566706,0.25,627.75
frozenset({'Marketing Dari Mulut Ke Mulut: Word of Mouth Marketing/ Ali Hasan'}),"frozenset({'ANALISIS KORELASI, REGRESI DAN MULTIVARIATE DENGAN SPSS/DUWI PRIYATNO'})",0.00039824771007566706,0.5,313.875
"frozenset({'ANALISIS KORELASI, REGRESI DAN MULTIVARIATE DENGAN SPSS/DUWI PRIYATNO'})",frozenset({'Marketing Dari Mulut Ke Mulut: Word of Mouth Marketing/ Ali Hasan'}),0.00039824771007566706,0.25,313.875
frozenset({'SPSS: Panduan Mudah Olah Data Bagi Mahasiswa & Umum/ Duwi Priyanto'}),"frozenset({'ANALISIS KORELASI, REGRESI DAN MULTIVARIATE DENGAN SPSS/DUWI PRIYATNO'})",0.00039824771007566706,0.25,156.9375
"frozenset({'ANALISIS KORELASI, REGRESI DAN MULTIVARIATE DENGAN SPSS/DUWI PRIYATNO'})",frozenset({'SPSS: Panduan Mudah Olah Data Bagi Mahasiswa & Umum/ Duwi Priyanto'}),0.00039824771007566706,0.25,156.9375
frozenset({'ATOMIC HABITS: Perubahan Kecil Yang Memberikan Hasil Luar Biasa/James Clear'}),frozenset({'FILOSOFI TERAS: Filsafat Yunani-Romawi Kuno Untuk Mental Tangguh Masa Kini/ Henry Manampiring'}),0.00039824771007566706,0.1111111111111111,23.25
frozenset({'FILOSOFI TERAS: Filsafat Yunani-Romawi Kuno Untuk Mental Tangguh Masa Kini/ Henry Manampiring'}),frozenset({'ATOMIC HABITS: Perubahan Kecil Yang Memberikan Hasil Luar Biasa/James Clear'}),0.00039824771007566706,0.08333333333333334,23.250000000000004
frozenset({'ATOMIC HABITS: Perubahan Kecil Yang Memberikan Hasil Luar Biasa/James Clear'}),frozenset({'Ikigai: Rahasia Hidup bahagia Dan Panjang Umur Orang Jepang/ Hector Gracia'}),0.00039824771007566706,0.1111111111111111,55.800000000000004
frozenset({'Ikigai: Rahasia Hidup bahagia Dan Panjang Umur Orang Jepang/ Hector Gracia'}),frozenset({'ATOMIC HABITS: Perubahan Kecil Yang Memberikan Hasil Luar Biasa/James Clear'}),0.00039824771007566706,0.2,55.800000000000004
frozenset({'ATOMIC HABITS: Perubahan Kecil Yang Memberikan Hasil Luar Biasa/James Clear'}),frozenset({'Sebuah Seni Untuk Bersikap Bodo Amat: Pendekatan Yang Waras Demi Menjalani Hidup Yang Baik/ Mark Manson'}),0.00039824771007566706,0.1111111111111111,39.857142857142854
frozenset({'Sebuah Seni Untuk Bersikap Bodo Amat: Pendekatan Yang Waras Demi Menjalani Hidup Yang Baik/ Mark Manson'}),frozenset({'ATOMIC HABITS: Perubahan Kecil Yang Memberikan Hasil Luar Biasa/James Clear'}),0.00039824771007566706,0.14285714285714285,39.857142857142854
